timestamp,beats per minute
2024-10-30T11:24:53Z,83.0
2024-10-30T11:24:55Z,84.0
2024-10-30T11:24:57Z,85.0
2024-10-30T11:24:59Z,86.0
2024-10-30T11:25:01Z,88.0
2024-10-30T11:25:03Z,90.0
2024-10-30T11:25:05Z,91.0
2024-10-30T11:25:07Z,90.0
2024-10-30T11:25:09Z,88.0
2024-10-30T11:25:12Z,86.0
2024-10-30T11:25:15Z,86.0
2024-10-30T11:25:16Z,84.0
2024-10-30T11:25:18Z,85.0
2024-10-30T11:25:20Z,86.0
2024-10-30T11:25:23Z,86.0
2024-10-30T11:25:24Z,86.0
2024-10-30T11:25:27Z,86.0
2024-10-30T11:25:30Z,86.0
2024-10-30T11:25:33Z,86.0
2024-10-30T11:25:34Z,86.0
2024-10-30T11:25:35Z,85.0
2024-10-30T11:25:37Z,84.0
2024-10-30T11:25:40Z,84.0
2024-10-30T11:25:43Z,84.0
2024-10-30T11:25:45Z,84.0
2024-10-30T11:25:48Z,84.0
2024-10-30T11:25:51Z,85.0
2024-10-30T11:25:53Z,86.0
2024-10-30T11:25:55Z,86.0
2024-10-30T11:25:58Z,86.0
2024-10-30T11:26:01Z,86.0
2024-10-30T11:26:04Z,86.0
2024-10-30T11:26:07Z,86.0
2024-10-30T11:26:08Z,87.0
2024-10-30T11:26:10Z,88.0
2024-10-30T11:26:12Z,87.0
2024-10-30T11:26:14Z,86.0
2024-10-30T11:26:17Z,86.0
2024-10-30T11:26:18Z,87.0
2024-10-30T11:26:20Z,86.0
2024-10-30T11:26:23Z,86.0
2024-10-30T11:26:25Z,88.0
2024-10-30T11:26:27Z,87.0
2024-10-30T11:26:29Z,86.0
2024-10-30T11:26:31Z,85.0
2024-10-30T11:26:33Z,84.0
2024-10-30T11:26:35Z,84.0
2024-10-30T11:26:38Z,84.0
2024-10-30T11:26:39Z,82.0
2024-10-30T11:26:41Z,81.0
2024-10-30T11:26:43Z,80.0
2024-10-30T11:26:45Z,82.0
2024-10-30T11:26:48Z,82.0
2024-10-30T11:26:51Z,82.0
2024-10-30T11:26:54Z,82.0
2024-10-30T11:26:56Z,83.0
2024-10-30T11:26:59Z,83.0
2024-10-30T11:27:00Z,83.0
2024-10-30T11:27:02Z,86.0
2024-10-30T11:27:04Z,89.0
2024-10-30T11:27:07Z,89.0
2024-10-30T11:27:08Z,88.0
2024-10-30T11:27:11Z,87.0
2024-10-30T11:27:13Z,86.0
2024-10-30T11:27:15Z,84.0
2024-10-30T11:27:17Z,83.0
2024-10-30T11:27:19Z,82.0
2024-10-30T11:27:22Z,82.0
2024-10-30T11:27:25Z,82.0
2024-10-30T11:27:28Z,82.0
2024-10-30T11:27:29Z,83.0
2024-10-30T11:27:31Z,84.0
2024-10-30T11:27:33Z,83.0
2024-10-30T11:27:35Z,84.0
2024-10-30T11:27:36Z,85.0
2024-10-30T11:27:38Z,86.0
